ID,NAME,DESCRIPTION,DOMAIN,LEVEL,PARENT
1.Market Sales Domain,Market Sales Domain,マーケット＆セールスドメインは、販売ライフサイクル段階を経て販売ライフサイクル段階（例えば、連絡先/リード/プロスペクトなど）を移動する、マーケティングおよび販売戦略、能力配信、ライフサイクル管理、および締約国の支援（例：個人/組織）に関する役割、情報および活動を表しています。企業によって提供されている商品やサービス（すなわち製品）については、注文、注文、注文、注文、注文、注文、およびサポートされています。販売側では、これには販売力と販売統計までの販売連絡先/リード/見通しが含まれます。市場には、市場戦略と計画、市場セグメント、競合他社、およびその製品が含まれています。,Market Sales Domain,0,top
1.Competitor ABE,Competitor ABE,競合他社のABEは、同じ市場セグメントに競争する他のプロバイダを識別し、製品を含む競合他社についての知性を蓄積します（価格、主要業績指標など）。競合他社ABEは、企業の競合他社に関連する知性の分析に関する情報を提供しています。競合他社が誰であるかを理解することは、製品のためのターゲット市場が何であるか、そして彼らの製品の成功のどれほどの成功です。競合他社と競合他社の企業はまた、次のレベル2のABES•競合他社のインテリジェンスを含む。,Market Sales Domain,1,1.Market Sales Domain
1.Competitor Intelligence ABE,Competitor Intelligence ABE,,Market Sales Domain,2,1.Competitor ABE
1.Competitor Product Correlation ABE,Competitor Product Correlation ABE,,Market Sales Domain,2,1.Competitor ABE
1.Contact Lead Prospect ABE,Contact Lead Prospect ABE,連絡先Readppppte Abeは、リードと連絡先情報、販売展望、潜在的な顧客に対する提案、およびリードが潜在的な顧客に対する提案、および潜在的な収益の額など、リードが顧客になるまで販売を追跡する能力を提供します。販売パイプラインの形式,Market Sales Domain,1,1.Market Sales Domain
1.Market & Sales Strategy Plan ABE,Market & Sales Strategy Plan ABE,市場販売戦略計画ABEは、適切な製品やチャンネルで市場に取り組む方法に関する事業計画と戦略を支援しています。,Market Sales Domain,1,1.Market Sales Domain
1.Market Sales Forecast ABE,Market Sales Forecast ABE,市場販売予測ABEは、市場および販売予測、新サービス要件、顧客のニーズ、および顧客教育を維持しています。,Market Sales Domain,1,1.Market Sales Domain
1.Market Sales Party Roles ABE,Market Sales Party Roles ABE,市場営業パーティの役割ABEは、MarketingManager、Salesagentなどの市場販売ドメインに関連するすべてのパーティロールを含んでいます...,Market Sales Domain,1,1.Market Sales Domain
1.Market Sales Statistics ABE,Market Sales Statistics ABE,市場の販売統計は、販売とマーケティングの収益および販売チャネルのパフォーマンスに関する市場および販売主要業績指標を維持しています。,Market Sales Domain,1,1.Market Sales Domain
1.Market Segment ABE,Market Segment ABE,市場セグメントABEは市場セグメントの説明をサポートしています。,Market Sales Domain,1,1.Market Sales Domain
1.Marketing Campaign ABE,Marketing Campaign ABE,マーケティングキャンペーンABEは、識別されたターゲット市場に新規または既存のProduct社をマーケティングするための戦略、またはアプローチを表しています。キャンペーンは次のいずれかになる可能性があります。 •セールチャネル、マーケンセグメントなどの複数のプロモーションを備えた前払いのProduct Productionsの開始•既存のProductSofferingの新しいキャンペーン。 ProductOfferingは新しいものではありませんが、関係、担保などが新たになる可能性があります。•既存の製品上限のキャンペーンの再開,Market Sales Domain,1,1.Market Sales Domain
1.Sales Channel ABE,Sales Channel ABE,販売チャネルABEは、流通チャネルや販売活動、販売割当、販売、販売、コンテスト、コミッション/ボーナス計画、委員会/ボーナス、および販売力を構成する個人のグループを維持し続けています。,Market Sales Domain,1,1.Market Sales Domain
